trial,action,reward,q0,q1,q2
0,0,5.672634932706657,0.5672634932706657,0.0,0.0
1,0,5.143203084852679,1.0248574524288672,0.0,0.0
2,0,5.336611768560978,1.4560328840420782,0.0,0.0
3,2,3.3422494496510353,1.4560328840420782,0.0,0.3342249449651036
4,0,4.155276007953504,1.7259571964332208,0.0,0.3342249449651036
5,0,5.113347605613887,2.0646962373512876,0.0,0.3342249449651036
6,0,6.155983133706494,2.4738249269868082,0.0,0.3342249449651036
7,0,3.6218717273192356,2.588629607020051,0.0,0.3342249449651036
8,0,6.200532715444916,2.9498199178625377,0.0,0.3342249449651036
9,0,3.9904390115991166,3.0538818272361956,0.0,0.3342249449651036
10,0,6.686455347876081,3.417139179300184,0.0,0.3342249449651036
11,0,5.644417996213523,3.6398670609915182,0.0,0.3342249449651036
12,0,4.591809799339441,3.7350613348263106,0.0,0.3342249449651036
13,0,4.923570789221598,3.853912280265839,0.0,0.3342249449651036
14,0,6.157225700378591,4.084243622277114,0.0,0.3342249449651036
15,0,6.491042220083294,4.3249234820577325,0.0,0.3342249449651036
16,0,5.109433907313061,4.403374524583265,0.0,0.3342249449651036
17,0,4.4251442840820125,4.40555150053314,0.0,0.3342249449651036
18,0,4.390508887385135,4.40404723921834,0.0,0.3342249449651036
19,0,5.181767968338017,4.481819312130307,0.0,0.3342249449651036
20,0,4.303090801182674,4.463946461035544,0.0,0.3342249449651036
21,0,6.8518432796784845,4.7027361428998375,0.0,0.3342249449651036
22,0,4.808491280149202,4.713311656624774,0.0,0.3342249449651036
23,1,7.465574103653251,4.713311656624774,0.7465574103653251,0.3342249449651036
24,0,3.2593064130935745,4.567911132271655,0.7465574103653251,0.3342249449651036
25,0,6.177588017060926,4.728878820750582,0.7465574103653251,0.3342249449651036
26,0,5.120763843252336,4.768067323000757,0.7465574103653251,0.3342249449651036
27,0,6.078410101269546,4.8991016008276365,0.7465574103653251,0.3342249449651036
28,0,6.2811518762327685,5.03730662836815,0.7465574103653251,0.3342249449651036
29,0,5.670989041006876,5.100674869632022,0.7465574103653251,0.3342249449651036
30,0,5.381303475908775,5.128737730259697,0.7465574103653251,0.3342249449651036
31,2,3.5684037170344345,5.128737730259697,0.7465574103653251,0.6576428221720367
32,0,5.604906514471939,5.176354608680922,0.7465574103653251,0.6576428221720367
33,0,6.50839055700493,5.309558203513323,0.7465574103653251,0.6576428221720367
34,0,5.609562257230069,5.339558608884997,0.7465574103653251,0.6576428221720367
35,0,3.7976920202128843,5.185371950017785,0.7465574103653251,0.6576428221720367
36,0,6.816893275986273,5.3485240826146345,0.7465574103653251,0.6576428221720367
37,0,4.144117453240886,5.22808341967726,0.7465574103653251,0.6576428221720367
38,0,6.43128715032824,5.348403792742358,0.7465574103653251,0.6576428221720367
39,0,3.474064519604976,5.16096986542862,0.7465574103653251,0.6576428221720367
40,2,3.3956357615011252,5.16096986542862,0.7465574103653251,0.9314421161049455
41,0,4.586184238272416,5.1034913027129996,0.7465574103653251,0.9314421161049455
42,0,5.601519683136759,5.153294140755375,0.7465574103653251,0.9314421161049455
43,0,6.274546122528976,5.265419338932736,0.7465574103653251,0.9314421161049455
44,0,4.2584443510297545,5.1647218401424375,0.7465574103653251,0.9314421161049455
45,0,8.059054147783822,5.454155070906576,0.7465574103653251,0.9314421161049455
46,0,3.0779962803917087,5.216539191855089,0.7465574103653251,0.9314421161049455
47,0,4.789929033166684,5.173878175986249,0.7465574103653251,0.9314421161049455
48,0,4.930892298730253,5.149579588260649,0.7465574103653251,0.9314421161049455
49,0,6.210299554244876,5.255651584859072,0.7465574103653251,0.9314421161049455
50,0,5.219673652217133,5.252053791594878,0.7465574103653251,0.9314421161049455
51,0,5.525338882416022,5.279382300676992,0.7465574103653251,0.9314421161049455
52,0,5.133227233242293,5.264766793933521,0.7465574103653251,0.9314421161049455
53,0,4.2487937065152686,5.1631694851916965,0.7465574103653251,0.9314421161049455
54,0,6.565482600673653,5.303400796739892,0.7465574103653251,0.9314421161049455
55,0,4.583272589159584,5.231387975981861,0.7465574103653251,0.9314421161049455
56,0,5.15116041449661,5.223365219833337,0.7465574103653251,0.9314421161049455
57,0,3.297503417089411,5.0307790395589445,0.7465574103653251,0.9314421161049455
58,0,5.969343837148865,5.124635519317937,0.7465574103653251,0.9314421161049455
59,0,4.996959522352145,5.111867919621358,0.7465574103653251,0.9314421161049455
60,1,8.57665403418928,5.111867919621358,1.5295670727477206,0.9314421161049455
61,0,6.105406789256664,5.211221806584889,1.5295670727477206,0.9314421161049455
